epoch,loss,accuracy
1,1.87059,0.753478
2,1.86639,0.747357
3,1.86698,0.736784
4,1.86309,0.744574
5,1.86027,0.752922
6,1.85305,0.759043
7,1.85108,0.753478
8,1.8469,0.762382
9,1.84321,0.756817
10,1.84039,0.754591
11,1.83766,0.754035
12,1.83481,0.758486
13,1.83352,0.761825
14,1.83065,0.765721
15,1.82756,0.761269
16,1.82659,0.761269
17,1.82234,0.758486
18,1.81981,0.761269
19,1.81961,0.762938
20,1.81878,0.761269
